id,question,solution,difficulty
32,"https://www.geeksforgeeks.org/puzzle-four-alternating-knights/
","There are four knights on a 3 x 3 chessboard. The two white knights are at the two bottom corners, and the two black knights are at the upper two corners of the board. Find the shortest sequence of moves to achieve the final position as shown in the figure or prove that no such sequence exists.",easy
33,"https://www.geeksforgeeks.org/puzzle-minimum-colors-required-to-color-a-chessboard-with-no-two-given-pair-threatening-each-other/
",Puzzle:,easy
34,"https://www.geeksforgeeks.org/minimize-number-of-cuts-required-to-break-n-length-stick-into-n-unit-length-sticks/
","Given an integer N denoting the length of a given stick, the task is to minimize the time required to split the stick into pieces of unit length, given that, a single cut is possible for any portion of stick at any instance of time.",easy
35,"https://www.geeksforgeeks.org/maximum-bitwise-and-pair-x-y-from-given-range-such-that-x-and-y-can-be-same/
","Given a range [L, R], the task is to find a pair (X, Y), not necessarily distinct. Find the maximum possible value of the bitwise AND of the chosen integers."
36,"https://www.geeksforgeeks.org/find-index-after-traversing-a-permutation-array-of-1-to-n-by-k-steps/
","Given an integer K and an index array arr[] of length N which contains elements in the range [1, N], the task is to find the index after traversing the array by K steps starting from the index 1."
37,"https://www.geeksforgeeks.org/average-of-cubes-of-first-n-natural-numbers/
","Given a positive integer N, the task is to find the average of cubes of first N natural numbers. Examples:  ",easy
38,"https://www.geeksforgeeks.org/expected-number-of-trials-to-get-n-consecutive-heads/
",Given a number N. The task is to find the expected number of times a coin must be flipped to get N heads consecutively.,hard
39,"https://www.geeksforgeeks.org/puzzle-dividing-a-square-into-n-smaller-squares/
","Puzzle: Find all values of N for which one can dissect a square into N smaller squares, and outline an algorithm for doing such a dissection.",hard
40,"https://www.geeksforgeeks.org/puzzle-can-a-knight-reach-bottom-from-top-by-visiting-all-squares/
","Puzzle
Is there a way for a chess knight to start at the top-left corner from a N x N chessboard, visit all the squares of the board exactly once and end at the lower-right corner.",medium
41,"https://www.geeksforgeeks.org/puzzle-minimum-time-required-to-make-n-pancakes/
","Puzzle: You have to make N (≥ 1) pancakes using a skillet that can hold only two pancakes at a time. Each pancake has to be fried on both sides. Frying one side of a pancake takes one minute, regardless of whether one or two pancakes are fried at the same time. What is the minimum amount of time required to fry the pancakes?",easy
42,"https://www.geeksforgeeks.org/check-if-its-possible-to-make-sum-of-the-array-odd-with-given-operations/
","Given an array arr[], the task is to check if it is possible to make the sum of array odd such that any two indices i and j can be chosen and arr[i] can be set equal to arr[j] given that i != j. "
43,"https://www.geeksforgeeks.org/minimum-number-of-moves-required-to-solve-a-jigsaw-assembly-puzzle/
","Puzzle:
You are given a jigsaw puzzle that contains n pieces. A “section” of the puzzle is a set of one or more pieces that have been connected to each other. A “move” consists of connecting two sections. Given that initially, all the pieces are separate, then what is the minimum number of moves in which the puzzle can be completed?",easy
44,"https://www.geeksforgeeks.org/puzzle-transferring-the-tourists/
","Puzzle: A group of 25 tourists had to cross a wide and deep river with no bridge in sight. They notice two 10-year-old boys playing in a rowboat by the shore. The problem is that the boat is so small, that it can only hold two boys or one tourist. How can the tourists get across the river and leave the boys in joint possession of the boat?",easy
45,"https://www.geeksforgeeks.org/dividing-the-rectangle-into-n-right-angled-triangles/
",Puzzle: Find all values of n &gt; 1 for which one can divide a rectangle into n right-angled triangles.
46,"https://www.geeksforgeeks.org/puzzle-snail-and-wall/
","Puzzle: A snail wishes to reach a water shore. To do this it must cross a wall which is 30 feet high. It has a time limit of 30 hours to reach atop the wall. The time starts as soon as it starts climbing the wall. However, he faces a problem while climbing. Every hour it climbs the wall 3 feet up, it slides down 2 feet. This occurs every hour. So how many hours will it take for the snail to reach atop the wall?
",medium
47,"https://www.geeksforgeeks.org/minimum-number-of-cuts-required-to-pay-salary-from-n-length-gold-bar/
","Given a gold bar of length N with N equal markings, the task is to find the minimum number of cuts required to pay the salary in N days such that on any ith day the worker has i parts of the gold bar."
48,"https://www.geeksforgeeks.org/eggs-dropping-puzzle-set-2/
","Given N eggs and K floors, the task is to find the minimum number of trials needed in the worst case to find the floor below which all floors are safe. A floor is safe if dropping an egg from it does not break the egg. Please refer n eggs and k floors for more insight.",easy
49,"https://www.geeksforgeeks.org/find-last-two-remaining-elements-after-removing-median-of-any-3-consecutive-elements-repeatedly/
","Given a sequence A1, A2, A3, … An of distinct integers. The task is to find the last 2 remaining elements after removing the median of any 3 consecutive elements repeatedly from the sequence."
50,"https://www.geeksforgeeks.org/puzzle-car-and-helium-balloon-motion/
",Puzzle:,medium
51,"https://www.geeksforgeeks.org/puzzle-paradox-dragons/
","Puzzle: There are 3 dragons. One of them always speaks the truth, one always lies and one alternate between truth and lie. A series of conversation takes between Ram and the 3 dragons which lets you identify the nature of each dragon.",hard
52,"https://www.geeksforgeeks.org/puzzle-9-students-and-red-black-hats/
","Puzzle: There are 9 IITians in a classroom. A professor enters the room with a bag. He says to them that there are 9 hats inside the bag. The hats are either of red colour or black colour. Further instruction was provided that there is at least one red hat and the number of black hats is greater than that of the red ones. The professor puts the hats on each of the students head and instructs them to find the number of red and black hats. The students are not allowed to look on their own hats or talk to each other or make any sort of communications or any tricks. The professor leaves and returns after 20 minutes looking for the answer, but no answer was provided. He again leaves and gives them an extra 10 minutes to come up with an answer but still, no response was received. He finally gives them the last 5 minutes to figure out the answer and leaves. This time when he returns, everyone was able to come up with the correct answer. Our task is to find what could have been the correct answer and how they came up with it.
",medium
53,"https://www.geeksforgeeks.org/puzzle-probability-of-finding-a-job/
","Puzzle: There is a interview going on and Ram is selected for interview to 3 posts. The total number of candidates appearing for the first, second and the third posts are 3, 4 and 2 respectively. Find the probability of Ram getting at least one job.
Assume that the probabilities are independent of each other.",easy
54,"https://www.geeksforgeeks.org/puzzle-how-much-he-had-initially/
","Puzzle: Rama started on a quest of visiting temples, with few coins in his pockets. As soon as he visits any temple, the money in his pocket gets doubled and on his way out, he donates Rs. 100 to each temple. He visits 4 temples on his quest. After visiting the last temple, his pocket is empty of all the money, so how much money he had initially.
",easy
55,"https://www.geeksforgeeks.org/puzzle-king-octopus-and-servants/
","Puzzle: There was a water kingdom where lived a king octopus with his few servants. The servants either had 6, 7 or 8 legs. It is known that:",easy
56,"https://www.geeksforgeeks.org/puzzle-how-long-was-he-walking/
","Puzzle: Ram used to arrive at the railway station every day at 6 pm from work. As soon as Ram arrived at the station, his wife Sita too arrives at the station by car to pick him up. Both drive back home. One day Ram arrived at the station one hour early and thought of taking a walk back to home. He started walking when after covering a specific distance, he meets with Sita. Both drive back home and this time they reached 30 minutes earlier than the usual time. How long has Ram been walking?
It is known that Sita drove every day at a uniform speed.
",easy
57,"https://www.geeksforgeeks.org/puzzle-rope-escape/
","Puzzle: Raghav is trapped on top of a building and wishes to reach the ground safely. He has with him a piece of rope running to 150 meters of length, a sharp knife. The building is 200 meters high from the ground. Raghav notices two hooks is placed on the side of the building, one at a distance of 200 meters and another at a distance of 100 meters from the ground. Devise a plan for Raghav
to reach the ground safely using the 150 meters rope, a knife and 2 hooks.
",medium
58,"https://www.geeksforgeeks.org/puzzle-8-balls-problem/
","Puzzle: You are provided with 8 identical balls and a measuring instrument. 7 of the eight balls are equal in weight and one of the eight given balls is defective and weighs less. The task is to find the defective ball in exactly two measurements.
",easy
59,"https://www.geeksforgeeks.org/puzzle-100-wrong-statements/
",Puzzle: There are 100 men in a village. One day they gather at a place and started making statements.,easy
60,"https://www.geeksforgeeks.org/puzzle-supersonic-bee-and-trains/
","Puzzle: There are two trains(Train A and Train B) running on the same track towards each other at a speed of 100 km/hr. They enter a tunnel 200 km long at the same time. As soon as they enter, a supersonic bee flying at a rate of 1000 km/hr also enters the tunnel from one side (say Train A side). The bee flies towards the other Train B and as soon as it reaches the train B, it turns back and flies back to the Train A. This way it keeps flying to and fro between the Trains A and B. The trains collide after a certain point of time leading to a massive explosion. The task is to find the total distance travelled by the bee until the collision occurred.",easy
61,"https://www.geeksforgeeks.org/optimal-strategy-for-a-game-special-gold-coin/
","Given a row of silver coins among which a special gold coin is present. Two players play the game, and with each move, a player has to remove a coin from either the left or the right end of the row and the player who removes the special coin wins the game. The task is to find the winner of the game.",easy
62,"https://www.geeksforgeeks.org/puzzle-10-balls-in-5-lines/
","Puzzle:
Given are ten balls, the task is to place these 10 balls in five lines such that each line contain exactly 4 balls.",medium
63,"https://www.geeksforgeeks.org/puzzle-thief-treasure-and-2-doors/
",Puzzle: ,medium
64,"https://www.geeksforgeeks.org/puzzle-cat-mice-and-4-boxes/
",Puzzle:,easy
65,"https://www.geeksforgeeks.org/time-h-localtime-function-in-c-with-examples/
",The localtime() function is defined in the time.h header file. The localtime( ) function return the local time of the user i.e time present at the task bar in computer.
66,"https://www.geeksforgeeks.org/puzzle-cylindrical-glass-and-water-measurement/
",Suppose you are in an empty closed room with a glass of water without using any measuring tool how will you identify whether the water in the glass is half-filled or less than half-filled or more than half-filled?,easy
67,"https://www.geeksforgeeks.org/puzzle-six-colored-cube/
","
Given six distinct colors, in how many unique ways can a six faced cube be painted such that no two faces have the same color?
Note: Mixing of colors is not allowed.",medium
68,"https://www.geeksforgeeks.org/puzzle-divide-a-square-into-5-parts-such-that-4-parts-among-them-are-equal/
","Puzzle: We have to divide a square into 5 parts such that 4 parts among them are equal. The condition is that even once the pen does not get up.
Solution: We can solve the above puzzle in the below way, and we have to draw an inscribed circle within the square. In this way, all corner of the square are equal and square divided into 5 parts. Even if we draw a circle then we do not need to get up the pen. Draw a circle like below image:",easy
69,"https://www.geeksforgeeks.org/puzzle-the-bridge-riddle/
","Puzzle:
You are a scientist who works in a lab. You are in the lab and accidentally, you pull the lever with the skull symbol which released the zombies trapped inside the prison of the Lab. The zombies started to come out of prison. You need to get away and safe from them. With you are the janitor, the lab assistant and the old professor who work with you in the lab. So now it’s your responsibility to get them safe as well. ",medium
70,"https://www.geeksforgeeks.org/rat-and-poisoned-bottle-problem/
",Given N number of bottles in which one bottle is poisoned. So the task is to find out minimum number of rats required to identify the poisoned bottle. A rat can drink any number of bottles at a time. ,medium
71,"https://www.geeksforgeeks.org/puzzle-disclosing-secret/
",Problem Statement: A secret can be told only to 2 persons in 5 minutes. The same person tells to 2 more persons and so on. So How long will take to spread a secret to 768 persons?,easy
72,"https://www.geeksforgeeks.org/program-to-find-the-last-two-digits-of-xy/
",The task is to find the last two digits of x^y.,easy
73,"https://www.geeksforgeeks.org/puzzle-rat-and-poisonous-milk-bottles/
",You have 4 bottles of milk. One of them is poisonous while the other 3 are non-poisonous. There is a rat which dies exactly after 10 hours of drinking the poisoned bottle. You have a clock that measures time only in hours. Suggest an optimal strategy to identify the poisoned bottle within 24 hours.,easy
74,"https://www.geeksforgeeks.org/find-the-total-guests-that-are-present-at-the-party/
","A person hosts a party and invites N guests to it. However, each guest has a condition, that each guest ‘Gi’ only stays at the party if there are at least ‘Pi’ people already at the party, otherwise leaves. The total number of guests N and the number of people each guest needs ‘Pi’ are given as input for each guest. The task is to find the total guests that are present at the party. It is also given that the guests arrive at the party in the order given in the array ‘Pi’",easy
75,"https://www.geeksforgeeks.org/puzzle-amount-of-rice/
","A seller has some quantity of rice with him. The seller offered his customer that if he/she buys half of the rice he has, he will give half kg of rice as a discount. The first customer accepts his offer and he purchased half of the rice and get half kg as extra. After selling the rice to the first customer he again makes the same offer for the second customer, and so on. The seller left with no quantity of rice after he made the fifth transaction.",easy
76,"https://www.geeksforgeeks.org/puzzle-neighbors-in-a-round-table/
",There are 6 persons seating on a round table in which two individual have the same names. What is the probability that the two same-named individuals will be neighbors?,easy
77,"https://www.geeksforgeeks.org/puzzle-eliminating-virus-from-a-computer-network/
","In a network of infinitely many computers, 650 computers got infected with certain virus. The IT support team has access to five different types of antivirus software packages (let us call them A, B, C, D and E) that can work on eliminating this virus. Each of the antivirus software packages ‘X’ can eliminate virus from Xr infected computers if there are at least Xr virus-infected computers in the network when ‘X’ is applied. But it will cause Xnew new virus-free computers in the network to be infected with the virus.   ",hard
78,"https://www.geeksforgeeks.org/puzzle-toggling-cctv-cameras-in-a-museum/
","A museum is fitted with 16 surveillance CCTV cameras each of which is switched on or off by a different switch.
Say, switch 1 controls CCTV camera-1, switch 2 controls CCTV camera-2, …, and switch 16 controls CCTV camera-16.
Each separate region of the museum is covered by multiple CCTV cameras than required and that configuration can not be changed now.
For the sake of meeting the limits of data storage without compromising the surveillance of any area in the museum, and due to other constraints, the surveillance manager created a plan to toggle (switch ON or OFF) the cameras at the start of any day as explained below with the help of a 4×4 table of switches 1 to 16: ",easy
79,"https://www.geeksforgeeks.org/puzzle-number-of-sheets-to-be-turned-so-that-prime-number-has-a-vowel-on-the-other-side/
",There are five sheets of paper each of which has a whole number on one side and and an alphabet on the other side written on it as shown below. ,easy
80,"https://www.geeksforgeeks.org/puzzle-can-2-persons-be-with-same-number-of-hairs-on-their-heads/
","One day Ram and Shyam were searching Google for finding what is the maximum number of hairs on the human head. They found that it is 2, 00, 000. Then Shyam thought a while and suddenly made a statement that there are at least two Bengaluru citizens who have got the exact same number of hairs on their heads. Both of them knew the fact that the population of Bengaluru is 1.23 crores.
But Ram was still thinking whether Shyam’s statement is correct or not.
Is Shyam’s statement 100% correct or we need more information to deduce the truth of the statement?",easy
81,"https://www.geeksforgeeks.org/puzzle-nineteen-pirates-and-the-king/
","Nineteen pirates (one of them is their leader) were caught by the king one day. But the king heard many stories of spontaneous wit of the pirates’ leader and great and clever escapes that he led in the past and so offered a challenge to the pirates.
The challenge involves the pirates numbered 1 to 19 to be seated in chairs numbered 1 to 19 around a table but no pirate occupying a matching chair (a matching chair is one that has a number same as the pirate number who sits in it). But they all can rotate in any direction any number of times so that at least some pirates get to sit in matching chairs. The initial position of the pirates is as per the wish of the king (but no pirate will be seated in a matching chair). ",hard
82,"https://www.geeksforgeeks.org/puzzle-minimum-number-steps-to-weigh-1-kg-rice-with-1gm-weight/
","There is a bag of rice given to us and we need to get 1 Kilogram of rice from it but we have only a common balance with two pans, some vessels and a 1 gm weight.
What is the least number of weighs we need to carry out to get 1 Kg of rice?",medium
83,"https://www.geeksforgeeks.org/puzzle-1000-light-bulbs-switched-on-off-by-1000-persons-passing-by/
","There are 1000 light bulbs and 1000 persons. All light bulbs are initially off. Person 1 goes flipping light bulb 1, 2, 3, 4, … person 2 then flips 2, 4, 6, 8, … person 3 then 3, 6, 9, … etc until all 1000 persons have done this. What is the status of light bulb 25, 93, 576, 132, 605, 26, 45, 37, 36 after all persons have flipped their respective light bulbs? Is there a general solution to predict the status of a light bulb? How many light bulbs are on after all 1000 persons have gone by? ",medium
84,"https://www.geeksforgeeks.org/puzzle-heads-or-tails/
",50 coins are lined up on a table (initially all heads facing upwards). 50 people pass from the coins one by one in the following manner:,medium
85,"https://www.geeksforgeeks.org/puzzle-minimum-planes-to-go-around-the-world/
","On an Island, there is an airport that has an unlimited number of identical air-planes. Each air-plane has a fuel capacity to allow it to fly exactly 1/2 way around the world, along a great circle. The planes have the ability to refuel in flight without loss of speed or spillage of fuel. Though the fuel is unlimited, the island is the only source of fuel. You can ignore the time and fuel consumption of refuelling.
What is the minimum number of air-planes required to get one air plane all the way around the world assuming that all of the air planes must return safely to the airport?",medium
86,"https://www.geeksforgeeks.org/tcs-digital-puzzle-lateral-thinking-2/
",Lateral thinking is the most interesting test module of tcs digital hiring process.,medium
87,"https://www.geeksforgeeks.org/tcs-digital-puzzle-lateral-thinking/
","
Lateral thinking is the most interesting test module of tcs digital hiring process.",medium
88,"https://www.geeksforgeeks.org/puzzle-growing-water-lilly/
","Question: In the middle of a round pool lies a beautiful water lily. The water lily doubles in size every day. After exactly 20 days, the lily will cover the complete pool. After how many days will the water lily cover half of the pool?",easy
89,"https://www.geeksforgeeks.org/puzzle-cut-blue-painted-cube/
","A solid, n-inch cube of wood is coated with blue paint on all six sides.",medium
90,"https://www.geeksforgeeks.org/puzzle-minimum-distance-for-lizard/
","A lizard is present on one corner of cube, It wants to reach diagonally opposite corner of cube. You have to calculate minimum distance lizard has to cover to reach its destination.",easy
91,"https://www.geeksforgeeks.org/area-of-squares-formed-by-joining-mid-points-repeatedly/
",Given a square having a side of length L. Another square form inside the first square by joining midpoint of the side of the first square. Now 3rd square is form inside 2nd one by joining midpoints of the side of the 2nd square and so on. You have 10 squares inside each other. and you are given side length of largest square.you have to find the area of these 10 squares.,medium
92,"https://www.geeksforgeeks.org/puzzle-find-the-probability-of-distance-in-a-square/
","Given 6 point inside a square of side 10cm, what is the probability that their exist at least two points whose distance is less than 8cm?",easy
93,"https://www.geeksforgeeks.org/puzzle-is-it-raining/
","A Geek is about to get a plane to Hyderabad. Geek wants to know if it’s raining. Geek calls 3 random friends staying at Hyderabad to ask this question. Each friend has a 2/3 chance of telling the truth and 1/3 chance of lying. All the three friends gave the response as “Yes, it is Raining”. ",easy
94,"https://www.geeksforgeeks.org/puzzle-guess-the-total-number-of-coins/
","There are 10 robbers named as’A’, ‘B’, ‘C’, ‘D’, ‘E’, ‘F’, ‘G’, ‘H’, ‘I’, ‘J’ they stole some coins from a bank and they decided to divide these coins equally among themselves. So they divide the coins into 10 parts but the last robber ‘J’ got 1 coin less than other robbers. So the remaining 9 robbers murder ‘J’. They again decided to divide the coins into 9 parts. But this time again the last robber ‘I’ got 1 less coin than other robbers. So again the remaining 8 robbers murder ‘I’ and try to divide all coins in between remaining 8 robbers. But again this time ‘H’ got one less coin than the other. Now, this process goes on until 1 robber left i.e. is ‘A’. After that ‘A’ take all the coins and run away. Now you have to guess the total number of coins. ",medium
95,"https://www.geeksforgeeks.org/puzzle-selling-chocolates/
","Ram and Shyam were selling chocolates. Ram was selling at the rate of 2 pieces/rupee and Shyam was selling at the rate of 3 pieces/rupee. Now both of them decided that they will mix their chocolates and sell them at the rate of 5 pieces for 2 rupees.
Now after selling whole chocolates, they found that the total collection is rupees 7 less than what they would get by selling them separately.",easy
96,"https://www.geeksforgeeks.org/puzzle-head-shot/
","Geek got kidnapped by a gangster. The Gangster puts two bullets in consecutive order in an empty six-round revolver, spins it, points it at her head and shoots. She is still alive.",medium
97,"https://www.geeksforgeeks.org/puzzle-pair-of-socks/
",There are 10 black socks and 10 white socks in a drawer. Socks of the same color are identical but not allowed to look into the drawer while taking out socks.,easy
98,"https://www.geeksforgeeks.org/puzzle-data-recovery-problem/
","Suppose you have three pen drives P1, P2 and P3 each having 1GB capacity. You have also 3GB data. You have to divide these data into P1, P2 and P3 such that if any one of the pen drive among P1, P2, P3 got crashed than you should be able to recover all the data from remaining two pen drives.",hard
99,"https://www.geeksforgeeks.org/puzzle-toll-and-cake/
","Ishita is on the way to visit her Grandmother, who lives at the end of the valley. It’s her birthday, and she wants to give her some cakes made by her. Ishita needs to cross 5 bridges to reach her Grandmother’s house. There is a toll for every bridge. The toll or tax for crossing the bridge is half of the cakes she is carrying with her. Also at each bridge she gets one cake from them. How many cakes should Ishita carry with her to make sure that she arrives at Grandmother’s house with exactly 2 cakes?",medium
100,"https://www.geeksforgeeks.org/puzzle-bag-of-coins/
","Puzzle:
Ishita has 10 bags full of coins. Each bag contains 1000 coins. But one bag is full of forgeries, and she just can’t recall which one. She does know that genuine coins weigh 1 gram, but forgeries weigh 1.1 grams. To hide the fact that she can’t recall which bag contains forgeries, she needs your help. How can she identify the bag with the forgeries with just one weighing?
",medium
